Title,Description
"Machine Operator - Milton, ON",
Machine Learning Engineer,"Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Learning Engineers for our team.As part of this job, you will be responsible for Providing solutions machine learning modelsWriting production quality code and libraries that can be packaged as containers learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations"
Machine Learning Engineer,"We bring together reinforcement learning, machine learning, and remote human guidance to create intelligent interacts easily with all levels of a high performance team.About this role As an Intermediate to Senior Machine Learning Engineer, you are a member of our Machine Learning Engineering & SW Platform team. What you bring. Familiar with a variety of Machine Learning tools and packages, understand how to properly of machine learning problemsAble to tackle varied problems, balancing a long term mission with short term"
Machine Learning Engineer,
Machine Learning Engineer,"We help the world's biggest brands discover and leverage Artificial Intelligence, Machine Learning and Come help us make some cool sh t. )About The JobWe are seeking a Machine Learning Engineer to design, The ideal candidate is experienced in developing and optimizing machine learning based projects for deployment At this time we are only considering folks within a 100 km radius to one of our hubs.As Machine Learning for production.Be responsible for design, development and maintenance of scalable production machine"
Machine Learning Specialist,"Machine Learning SpecialistClient. Supply Chain. Logistics. Role. Machine Learning SpecialistDuration experienceLocation. Remote in GTAOur client, a global organisation in supply chain and logistics is looking to add Machine Learning specialist to their team.What You'll Need to Succeed Qualifications. Degree in Machine management and performance monitoring. 3. years of extensive experience building Predictive Machine Learning models for Customer Segmentation, Churn modeling, Seasonal Sales Forecasting or equivalent"
Machine Learning Engineer,"Job Title. Machine Learning EngineerLocation. MississaugaWho We AreOver the last 20 years, we have been learning methods in productionAct as a subject matter expert as it pertains to application logs, health learning dependencies and artifact pipelinesCollaborate with product teams to accelerate productivity learning models3. years of experience with NLP and text analytics methods and packagesExperience with Learning, techniques, algorithms, natural language processing2. years of development experience (.NET"
Lead Machine Learning Engineer,"Engineering LeadThe engineering team at Vidado is looking for a seasoned machine learning expert to learning, this is the position for you.ResponsibilitiesOwn the entire machine learning stack, from data curation to research to production to evaluationCollaborate with senior machine learning engineers to learning strategyCollaborate with other engineering teams to ship machine learning into productionQualificationsPhD in computer science, machine learning, statistics, data science, or similar field, or equivalent industry"
"Machine Learning Engineer, Cash App","save to anyone who has ever sought an alternative to today's banking system.Job DescriptionMachine Learning Across the team, we employ methods ranging from simple heuristics to Deep Learning technology to improve how Cash App develops, tests and maintains ML platform solutionsHelp design and execute our long term Machine Learning strategy across Cash AppQualificationsYou have. A degree in Computer Science, Computer Engineering"
Sr. Machine Learning Engineering Manager,"If you are a Machine Learning Engineering Manager or Researcher with experience in Computer Vision, Facial We are looking for experienced Machine Learning Engineers or Researchers to join our team and advance Learning and Deep Learning Algorithms and Applications Developing and optimizing algorithms for facial recognition, tracking, detection and more Concept to release lifecycle of machine learning applications Learning and or Deep Learning Heavy research & discovery applying algorithms to vast data sets & training"
